,Country,Gender,Sector,Job Seniority,Company Size,Age Ranges,Connectivity Status,Count
203,PHL,Any Gender,IT,Partner,Any Company Size,55+,connected to any,0
204,PHL,Any Gender,IT,Partner,Any Company Size,35 to 54,connected to big companies,0
205,PHL,Any Gender,IT,Partner,Any Company Size,35 to 54,connected to any,670
206,PHL,Any Gender,IT,Partner,Any Company Size,25 to 34,connected to big companies,0
207,PHL,Any Gender,IT,Partner,Any Company Size,25 to 34,connected to any,720
208,PHL,Any Gender,IT,Partner,Any Company Size,18 to 24,connected to big companies,0
209,PHL,Any Gender,IT,Partner,Any Company Size,18 to 24,connected to any,0
210,PHL,Any Gender,IT,Partner,"10,001+ employees",Any Age Range,connected to big companies,0
211,PHL,Any Gender,IT,Partner,"10,001+ employees",Any Age Range,connected to any,0
212,PHL,Any Gender,IT,Partner,"10,001+ employees",55+,connected to big companies,0
213,PHL,Any Gender,IT,Partner,"10,001+ employees",55+,connected to any,0
214,PHL,Any Gender,IT,Partner,"10,001+ employees",35 to 54,connected to big companies,0
215,PHL,Any Gender,IT,Partner,"10,001+ employees",35 to 54,connected to any,0
216,PHL,Any Gender,IT,Partner,"10,001+ employees",25 to 34,connected to big companies,0
217,PHL,Any Gender,IT,Partner,"10,001+ employees",25 to 34,connected to any,0
218,PHL,Any Gender,IT,Partner,"10,001+ employees",18 to 24,connected to big companies,0
219,PHL,Any Gender,IT,Partner,"10,001+ employees",18 to 24,connected to any,0
220,PHL,Any Gender,IT,Partner,"5001-10,000 employees",Any Age Range,connected to big companies,0
221,PHL,Any Gender,IT,Partner,"5001-10,000 employees",Any Age Range,connected to any,0
222,PHL,Any Gender,IT,Partner,"5001-10,000 employees",55+,connected to big companies,0
223,PHL,Any Gender,IT,Partner,"5001-10,000 employees",55+,connected to any,0
224,PHL,Any Gender,IT,Partner,"5001-10,000 employees",35 to 54,connected to big companies,0
225,PHL,Any Gender,IT,Partner,"5001-10,000 employees",35 to 54,connected to any,0
226,PHL,Any Gender,IT,Partner,"5001-10,000 employees",25 to 34,connected to big companies,0
227,PHL,Any Gender,IT,Partner,"5001-10,000 employees",25 to 34,connected to any,0
228,PHL,Any Gender,IT,Partner,"5001-10,000 employees",18 to 24,connected to big companies,0
229,PHL,Any Gender,IT,Partner,"5001-10,000 employees",18 to 24,connected to any,0
230,PHL,Any Gender,IT,Partner,1001-5000 employees,Any Age Range,connected to big companies,0
231,PHL,Any Gender,IT,Partner,1001-5000 employees,Any Age Range,connected to any,0
232,PHL,Any Gender,IT,Partner,1001-5000 employees,55+,connected to big companies,0
233,PHL,Any Gender,IT,Partner,1001-5000 employees,55+,connected to any,0
234,PHL,Any Gender,IT,Partner,1001-5000 employees,35 to 54,connected to big companies,0
235,PHL,Any Gender,IT,Partner,1001-5000 employees,35 to 54,connected to any,0
236,PHL,Any Gender,IT,Partner,1001-5000 employees,25 to 34,connected to big companies,0
237,PHL,Any Gender,IT,Partner,1001-5000 employees,25 to 34,connected to any,0
238,PHL,Any Gender,IT,Partner,1001-5000 employees,18 to 24,connected to big companies,0
239,PHL,Any Gender,IT,Partner,1001-5000 employees,18 to 24,connected to any,0
240,PHL,Any Gender,IT,Partner,501-1000 employees,Any Age Range,connected to big companies,0
241,PHL,Any Gender,IT,Partner,501-1000 employees,Any Age Range,connected to any,0
242,PHL,Any Gender,IT,Partner,501-1000 employees,55+,connected to big companies,0
243,PHL,Any Gender,IT,Partner,501-1000 employees,55+,connected to any,0
244,PHL,Any Gender,IT,Partner,501-1000 employees,35 to 54,connected to big companies,0
245,PHL,Any Gender,IT,Partner,501-1000 employees,35 to 54,connected to any,0
246,PHL,Any Gender,IT,Partner,501-1000 employees,25 to 34,connected to big companies,0
247,PHL,Any Gender,IT,Partner,501-1000 employees,25 to 34,connected to any,0
248,PHL,Any Gender,IT,Partner,501-1000 employees,18 to 24,connected to big companies,0
249,PHL,Any Gender,IT,Partner,501-1000 employees,18 to 24,connected to any,0
250,PHL,Any Gender,IT,Partner,201-500 employees,Any Age Range,connected to big companies,0
251,PHL,Any Gender,IT,Partner,201-500 employees,Any Age Range,connected to any,0
252,PHL,Any Gender,IT,Partner,201-500 employees,55+,connected to big companies,0
253,PHL,Any Gender,IT,Partner,201-500 employees,55+,connected to any,0
254,PHL,Any Gender,IT,Partner,201-500 employees,35 to 54,connected to big companies,0
255,PHL,Any Gender,IT,Partner,201-500 employees,35 to 54,connected to any,0
256,PHL,Any Gender,IT,Partner,201-500 employees,25 to 34,connected to big companies,0
257,PHL,Any Gender,IT,Partner,201-500 employees,25 to 34,connected to any,0
258,PHL,Any Gender,IT,Partner,201-500 employees,18 to 24,connected to big companies,0
259,PHL,Any Gender,IT,Partner,201-500 employees,18 to 24,connected to any,0
260,PHL,Any Gender,IT,Partner,51-200 employees,Any Age Range,connected to big companies,0
261,PHL,Any Gender,IT,Partner,51-200 employees,Any Age Range,connected to any,300
262,PHL,Any Gender,IT,Partner,51-200 employees,55+,connected to big companies,0
263,PHL,Any Gender,IT,Partner,51-200 employees,55+,connected to any,0
264,PHL,Any Gender,IT,Partner,51-200 employees,35 to 54,connected to big companies,0
265,PHL,Any Gender,IT,Partner,51-200 employees,35 to 54,connected to any,0
266,PHL,Any Gender,IT,Partner,51-200 employees,25 to 34,connected to big companies,0
267,PHL,Any Gender,IT,Partner,51-200 employees,25 to 34,connected to any,0
268,PHL,Any Gender,IT,Partner,51-200 employees,18 to 24,connected to big companies,0
269,PHL,Any Gender,IT,Partner,51-200 employees,18 to 24,connected to any,0
270,PHL,Any Gender,IT,Partner,11-50 employees,Any Age Range,connected to big companies,0
271,PHL,Any Gender,IT,Partner,11-50 employees,Any Age Range,connected to any,470
272,PHL,Any Gender,IT,Partner,11-50 employees,55+,connected to big companies,0
273,PHL,Any Gender,IT,Partner,11-50 employees,55+,connected to any,0
274,PHL,Any Gender,IT,Partner,11-50 employees,35 to 54,connected to big companies,0
275,PHL,Any Gender,IT,Partner,11-50 employees,35 to 54,connected to any,0
276,PHL,Any Gender,IT,Partner,11-50 employees,25 to 34,connected to big companies,0
277,PHL,Any Gender,IT,Partner,11-50 employees,25 to 34,connected to any,0
278,PHL,Any Gender,IT,Partner,11-50 employees,18 to 24,connected to big companies,0
279,PHL,Any Gender,IT,Partner,11-50 employees,18 to 24,connected to any,0
280,PHL,Any Gender,IT,Partner,2-10 employees,Any Age Range,connected to big companies,0
281,PHL,Any Gender,IT,Partner,2-10 employees,Any Age Range,connected to any,400
282,PHL,Any Gender,IT,Partner,2-10 employees,55+,connected to big companies,0
283,PHL,Any Gender,IT,Partner,2-10 employees,55+,connected to any,0
284,PHL,Any Gender,IT,Partner,2-10 employees,35 to 54,connected to big companies,0
285,PHL,Any Gender,IT,Partner,2-10 employees,35 to 54,connected to any,0
286,PHL,Any Gender,IT,Partner,2-10 employees,25 to 34,connected to big companies,0
287,PHL,Any Gender,IT,Partner,2-10 employees,25 to 34,connected to any,0
288,PHL,Any Gender,IT,Partner,2-10 employees,18 to 24,connected to big companies,0
289,PHL,Any Gender,IT,Partner,2-10 employees,18 to 24,connected to any,0
290,PHL,Any Gender,IT,Partner,Myself Only,Any Age Range,connected to big companies,0
291,PHL,Any Gender,IT,Partner,Myself Only,Any Age Range,connected to any,0
292,PHL,Any Gender,IT,Partner,Myself Only,55+,connected to big companies,0
293,PHL,Any Gender,IT,Partner,Myself Only,55+,connected to any,0
294,PHL,Any Gender,IT,Partner,Myself Only,35 to 54,connected to big companies,0
295,PHL,Any Gender,IT,Partner,Myself Only,35 to 54,connected to any,0
296,PHL,Any Gender,IT,Partner,Myself Only,25 to 34,connected to big companies,0
297,PHL,Any Gender,IT,Partner,Myself Only,25 to 34,connected to any,0
298,PHL,Any Gender,IT,Partner,Myself Only,18 to 24,connected to big companies,0
299,PHL,Any Gender,IT,Partner,Myself Only,18 to 24,connected to any,0
300,PHL,Any Gender,IT,CXO,Any Company Size,Any Age Range,connected to big companies,1700
301,PHL,Any Gender,IT,CXO,Any Company Size,Any Age Range,connected to any,9600
