,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
170,VNM,Any Gender,Any Company Industry,55+,Manager,Any Company Size,920
171,VNM,Any Gender,Any Company Industry,55+,Manager,"10,001+ employees",0
172,VNM,Any Gender,Any Company Industry,55+,Manager,"5001-10,000 employees",0
173,VNM,Any Gender,Any Company Industry,55+,Manager,1001-5000 employees,0
174,VNM,Any Gender,Any Company Industry,55+,Manager,501-1000 employees,0
175,VNM,Any Gender,Any Company Industry,55+,Manager,201-500 employees,0
176,VNM,Any Gender,Any Company Industry,55+,Manager,51-200 employees,0
177,VNM,Any Gender,Any Company Industry,55+,Manager,11-50 employees,0
178,VNM,Any Gender,Any Company Industry,55+,Manager,2-10 employees,0
179,VNM,Any Gender,Any Company Industry,55+,Manager,Myself Only,0
180,VNM,Any Gender,Any Company Industry,55+,Senior,Any Company Size,1500
181,VNM,Any Gender,Any Company Industry,55+,Senior,"10,001+ employees",0
182,VNM,Any Gender,Any Company Industry,55+,Senior,"5001-10,000 employees",0
183,VNM,Any Gender,Any Company Industry,55+,Senior,1001-5000 employees,0
184,VNM,Any Gender,Any Company Industry,55+,Senior,501-1000 employees,0
185,VNM,Any Gender,Any Company Industry,55+,Senior,201-500 employees,0
186,VNM,Any Gender,Any Company Industry,55+,Senior,51-200 employees,0
187,VNM,Any Gender,Any Company Industry,55+,Senior,11-50 employees,0
188,VNM,Any Gender,Any Company Industry,55+,Senior,2-10 employees,0
189,VNM,Any Gender,Any Company Industry,55+,Senior,Myself Only,0
190,VNM,Any Gender,Any Company Industry,55+,Entry,Any Company Size,1100
191,VNM,Any Gender,Any Company Industry,55+,Entry,"10,001+ employees",0
192,VNM,Any Gender,Any Company Industry,55+,Entry,"5001-10,000 employees",0
193,VNM,Any Gender,Any Company Industry,55+,Entry,1001-5000 employees,0
194,VNM,Any Gender,Any Company Industry,55+,Entry,501-1000 employees,0
195,VNM,Any Gender,Any Company Industry,55+,Entry,201-500 employees,0
196,VNM,Any Gender,Any Company Industry,55+,Entry,51-200 employees,0
197,VNM,Any Gender,Any Company Industry,55+,Entry,11-50 employees,0
198,VNM,Any Gender,Any Company Industry,55+,Entry,2-10 employees,0
199,VNM,Any Gender,Any Company Industry,55+,Entry,Myself Only,0
200,VNM,Any Gender,Any Company Industry,55+,Training,Any Company Size,0
201,VNM,Any Gender,Any Company Industry,55+,Training,"10,001+ employees",0
202,VNM,Any Gender,Any Company Industry,55+,Training,"5001-10,000 employees",0
203,VNM,Any Gender,Any Company Industry,55+,Training,1001-5000 employees,0
204,VNM,Any Gender,Any Company Industry,55+,Training,501-1000 employees,0
205,VNM,Any Gender,Any Company Industry,55+,Training,201-500 employees,0
206,VNM,Any Gender,Any Company Industry,55+,Training,51-200 employees,0
207,VNM,Any Gender,Any Company Industry,55+,Training,11-50 employees,0
208,VNM,Any Gender,Any Company Industry,55+,Training,2-10 employees,0
209,VNM,Any Gender,Any Company Industry,55+,Training,Myself Only,0
210,VNM,Any Gender,Any Company Industry,55+,Unpaid,Any Company Size,0
211,VNM,Any Gender,Any Company Industry,55+,Unpaid,"10,001+ employees",0
212,VNM,Any Gender,Any Company Industry,55+,Unpaid,"5001-10,000 employees",0
213,VNM,Any Gender,Any Company Industry,55+,Unpaid,1001-5000 employees,0
214,VNM,Any Gender,Any Company Industry,55+,Unpaid,501-1000 employees,0
215,VNM,Any Gender,Any Company Industry,55+,Unpaid,201-500 employees,0
216,VNM,Any Gender,Any Company Industry,55+,Unpaid,51-200 employees,0
217,VNM,Any Gender,Any Company Industry,55+,Unpaid,11-50 employees,0
218,VNM,Any Gender,Any Company Industry,55+,Unpaid,2-10 employees,0
219,VNM,Any Gender,Any Company Industry,55+,Unpaid,Myself Only,0
220,VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,Any Company Size,280000
221,VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,"10,001+ employees",28000
222,VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,"5001-10,000 employees",7500
223,VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,1001-5000 employees,16000
224,VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,501-1000 employees,9400
225,VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,201-500 employees,11000
226,VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,51-200 employees,15000
227,VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,11-50 employees,15000
228,VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,2-10 employees,8800
229,VNM,Any Gender,Any Company Industry,35 to 54,Any Job Seniority,Myself Only,1400
230,VNM,Any Gender,Any Company Industry,35 to 54,Owner,Any Company Size,9700
231,VNM,Any Gender,Any Company Industry,35 to 54,Owner,"10,001+ employees",360
232,VNM,Any Gender,Any Company Industry,35 to 54,Owner,"5001-10,000 employees",0
233,VNM,Any Gender,Any Company Industry,35 to 54,Owner,1001-5000 employees,350
234,VNM,Any Gender,Any Company Industry,35 to 54,Owner,501-1000 employees,0
235,VNM,Any Gender,Any Company Industry,35 to 54,Owner,201-500 employees,440
236,VNM,Any Gender,Any Company Industry,35 to 54,Owner,51-200 employees,900
237,VNM,Any Gender,Any Company Industry,35 to 54,Owner,11-50 employees,1700
238,VNM,Any Gender,Any Company Industry,35 to 54,Owner,2-10 employees,1200
239,VNM,Any Gender,Any Company Industry,35 to 54,Owner,Myself Only,0
240,VNM,Any Gender,Any Company Industry,35 to 54,Partner,Any Company Size,1700
241,VNM,Any Gender,Any Company Industry,35 to 54,Partner,"10,001+ employees",0
242,VNM,Any Gender,Any Company Industry,35 to 54,Partner,"5001-10,000 employees",0
243,VNM,Any Gender,Any Company Industry,35 to 54,Partner,1001-5000 employees,0
244,VNM,Any Gender,Any Company Industry,35 to 54,Partner,501-1000 employees,0
245,VNM,Any Gender,Any Company Industry,35 to 54,Partner,201-500 employees,0
246,VNM,Any Gender,Any Company Industry,35 to 54,Partner,51-200 employees,0
247,VNM,Any Gender,Any Company Industry,35 to 54,Partner,11-50 employees,420
248,VNM,Any Gender,Any Company Industry,35 to 54,Partner,2-10 employees,0
249,VNM,Any Gender,Any Company Industry,35 to 54,Partner,Myself Only,0
250,VNM,Any Gender,Any Company Industry,35 to 54,CXO,Any Company Size,11000
251,VNM,Any Gender,Any Company Industry,35 to 54,CXO,"10,001+ employees",610
252,VNM,Any Gender,Any Company Industry,35 to 54,CXO,"5001-10,000 employees",0
253,VNM,Any Gender,Any Company Industry,35 to 54,CXO,1001-5000 employees,690
254,VNM,Any Gender,Any Company Industry,35 to 54,CXO,501-1000 employees,420
255,VNM,Any Gender,Any Company Industry,35 to 54,CXO,201-500 employees,700
256,VNM,Any Gender,Any Company Industry,35 to 54,CXO,51-200 employees,1200
257,VNM,Any Gender,Any Company Industry,35 to 54,CXO,11-50 employees,1700
258,VNM,Any Gender,Any Company Industry,35 to 54,CXO,2-10 employees,950
259,VNM,Any Gender,Any Company Industry,35 to 54,CXO,Myself Only,0
260,VNM,Any Gender,Any Company Industry,35 to 54,VP,Any Company Size,7700
261,VNM,Any Gender,Any Company Industry,35 to 54,VP,"10,001+ employees",1000
262,VNM,Any Gender,Any Company Industry,35 to 54,VP,"5001-10,000 employees",0
263,VNM,Any Gender,Any Company Industry,35 to 54,VP,1001-5000 employees,580
264,VNM,Any Gender,Any Company Industry,35 to 54,VP,501-1000 employees,320
265,VNM,Any Gender,Any Company Industry,35 to 54,VP,201-500 employees,480
266,VNM,Any Gender,Any Company Industry,35 to 54,VP,51-200 employees,690
267,VNM,Any Gender,Any Company Industry,35 to 54,VP,11-50 employees,950
268,VNM,Any Gender,Any Company Industry,35 to 54,VP,2-10 employees,500
269,VNM,Any Gender,Any Company Industry,35 to 54,VP,Myself Only,0
270,VNM,Any Gender,Any Company Industry,35 to 54,Director,Any Company Size,27000
271,VNM,Any Gender,Any Company Industry,35 to 54,Director,"10,001+ employees",3900
272,VNM,Any Gender,Any Company Industry,35 to 54,Director,"5001-10,000 employees",1300
273,VNM,Any Gender,Any Company Industry,35 to 54,Director,1001-5000 employees,2700
274,VNM,Any Gender,Any Company Industry,35 to 54,Director,501-1000 employees,1600
275,VNM,Any Gender,Any Company Industry,35 to 54,Director,201-500 employees,1800
276,VNM,Any Gender,Any Company Industry,35 to 54,Director,51-200 employees,2400
277,VNM,Any Gender,Any Company Industry,35 to 54,Director,11-50 employees,2400
278,VNM,Any Gender,Any Company Industry,35 to 54,Director,2-10 employees,1400
279,VNM,Any Gender,Any Company Industry,35 to 54,Director,Myself Only,0
280,VNM,Any Gender,Any Company Industry,35 to 54,Manager,Any Company Size,27000
281,VNM,Any Gender,Any Company Industry,35 to 54,Manager,"10,001+ employees",6000
